text,sentiment,text_length,clean_text
@looby_loo You are so full of good ideas  Why didn't I think of that?,positive,69,you are so full of good ideas why didnt i think of that
"@marieez um ok, but i might not get there til like 10.30 cos my buses are gay  but alright.",negative,91,um ok but i might not get there til like cos my buses are gay but alright
is off to work for the day. ,negative,28,is off to work for the day
@Dont_Panic42 ugh.  You're so weird.  Omg I just finished cleaning coopers vomit.  he vomitted poop. :/,negative,103,ugh youre so weird omg i just finished cleaning coopers vomit he vomitted poop
@fossiloflife tell him that he needs to fork out $$$ to the regular chennai tweeps. ,positive,84,tell him that he needs to fork out to the regular chennai tweeps
on my way to Mel's then...the beach ,positive,36,on my way to mels thenthe beach
i dont think im going to do well in my electronics exam ,negative,56,i dont think im going to do well in my electronics exam
but my lil sis beet me to it  ,negative,30,but my lil sis beet me to it
@Southparkfl oh thankyou ,positive,25,oh thankyou
@VFC_Drew  by the way i dont think could make it ,negative,49,by the way i dont think could make it
"@RegiSor it might still go on, using movie maker, but the new movie maker beta sucks though ",negative,92,it might still go on using movie maker but the new movie maker beta sucks though
"i almost chocked on a pice of that cake, i suppose thats karma ",negative,63,i almost chocked on a pice of that cake i suppose thats karma
@ArianeSherine Hey stranger! I don't see many tweets from you these days... or maybe our twitter times don't match ,negative,115,hey stranger i dont see many tweets from you these days or maybe our twitter times dont match
@LimaBeantheGrey yes I do. I LOVE it! ,positive,38,yes i do i love it
Oh Gosh the Lions are very sexy ,positive,32,oh gosh the lions are very sexy
YAY. no more tests ,positive,19,yay no more tests
@SusanPowter That's why I've been tweeting pictures while beaching-- to take everyone who needs it to that mindspace! ,positive,118,thats why ive been tweeting pictures while beaching to take everyone who needs it to that mindspace
"Home and off for hopefully, a sunny weekend ",positive,44,home and off for hopefully a sunny weekend
"@TomFelton You are so lucky, I wish I had some in the house. My day has been terrible. ",negative,87,you are so lucky i wish i had some in the house my day has been terrible
"@ neosolrkstr Domo, Trey, Nisey, and some random girl from the Chi...still feeling woozy ",negative,89,neosolrkstr domo trey nisey and some random girl from the chistill feeling woozy
I am getting behind replying to ppl on here and at http://ontrich.com Sorry guys! I am so busy  with work ,negative,106,i am getting behind replying to ppl on here and at sorry guys i am so busy with work
@hourfollowshour fyl ,negative,21,fyl
@kristayay I'd def. agree with that analysis. Sorry that hoodrats stole your bros friends $  that's just fucked up.,negative,115,id def agree with that analysis sorry that hoodrats stole your bros friends thats just fucked up
is wake and excited ,positive,20,is wake and excited
@kristenstewart9 Off to the MTV Awards???  Oh an Hello!! ,positive,57,off to the mtv awards oh an hello
@RACINGgirls Very cool. Looking forward to it. ,positive,47,very cool looking forward to it
"Time 2 face the wolves! I was supposed to be off work today, but duty calls  I'm grateful to have a job, I'm grateful to have a job...",negative,134,time face the wolves i was supposed to be off work today but duty calls im grateful to have a job im grateful to have a job
@mayorsam i agree-  noodles r essential 2 life. rn't most noodles composed of 90% H2O?..c its all making sense now. ,positive,116,i agree noodles r essential life rnt most noodles composed of hoc its all making sense now
shares http://www.sweet-candii.com/?p=17 (Boys Before Flowers OSTs)  http://plurk.com/p/x31mb,positive,93,shares boys before flowers osts
@barmak9 Shiraz event was in an 'anti-bahai' center.not in a mosque or in election campaign.Sadly children wr involved in zahedan ,negative,130,shiraz event was in an antibahai centernot in a mosque or in election campaignsadly children wr involved in zahedan
I...should have slept last night. CAFFIENE TIME!!!!!!!!!    ,positive,60,ishould have slept last night caffiene time
Yes!! Finally Friday...which tech means nothing to me since Im currently unemployed ,negative,84,yes finally fridaywhich tech means nothing to me since im currently unemployed
"@ililush unfortunately, I'm not there  Are you? Sorry #win7il ...",negative,65,unfortunately im not there are you sorry winil
now to the sad part of graduation and ending my tennis season and school year ,negative,78,now to the sad part of graduation and ending my tennis season and school year
with ale  i love her (l),positive,24,with ale i love her l
 im fukin bored im goin on gs 4 a bit,negative,37,im fukin bored im goin on gs a bit
@totoro226 'work' meaning it was a lot of work to see everything there. Noon-8:30! Sorry for the ambiguity. Vacay in paradise ends tmw ,negative,135,work meaning it was a lot of work to see everything there noon sorry for the ambiguity vacay in paradise ends tmw
@ArtemisEntreri3 DEBAUCHERY!!! ,positive,31,debauchery
waiting for good news week to begin. i feel like chocolate. trying to work out what is going to happen on friday ,negative,113,waiting for good news week to begin i feel like chocolate trying to work out what is going to happen on friday
"@ldave Dave, you want to see what I dish out hahaha  ",positive,53,dave you want to see what i dish out hahaha
who wants to swimmmmmm ,positive,23,who wants to swimmmmmm
#height of cost cutting they swtichoff AC fr half an hr everyday in my office ,negative,78,height of cost cutting they swtichoff ac fr half an hr everyday in my office
