text,sentiment,text_length,clean_text
"except to say, @velika APT YES   where you  (going to be living) at, gf?",positive,72,except to say apt yes where you going to be living at gf
Finally home from the best day everrr!!!! man..too bad it had to end.  x_kristie,negative,80,finally home from the best day everrr mantoo bad it had to end xkristie
@kingrool LOL MY BOYFRIEND AND I WERE JUST DISCUSSING THAT.. cos some idiots think I made my own name up. how sad ,negative,114,lol my boyfriend and i were just discussing that cos some idiots think i made my own name up how sad
This guy reminds me of my father in law ,positive,40,this guy reminds me of my father in law
@Gump8594 what are you doing here? Shouldn't you be playin' the God Father? Or finding a job? ,positive,94,what are you doing here shouldnt you be playin the god father or finding a job
@ellamorton i want your job ,negative,28,i want your job
I am so excited to have Mom and Dad in town tonight.  The BFE bar in Allendale is going to be rockin' tonight.    ,positive,114,i am so excited to have mom and dad in town tonight the bfe bar in allendale is going to be rockin tonight
Missing LA and someone special. ,negative,32,missing la and someone special
"Follow me, I'll follow you!! ",positive,29,follow me ill follow you
 Samsung N120 review #Geek #WebTech #News http://tinyurl.com/lkwoqn,positive,67,samsung n review geek webtech news
"@TheErikHo I wish I did too, or atleast the whole thing of both.  I am missing a disc from VII and VIII and I can't even find IX. ",negative,130,i wish i did too or atleast the whole thing of both i am missing a disc from vii and viii and i cant even find ix
Off to David's. ,positive,16,off to davids
"I wish I'd studied harder at school, I always wanted to work in the NASA control room   *sighs*",negative,95,i wish id studied harder at school i always wanted to work in the nasa control room sighs
"Oh pooh, I missed two awesome games tonight ",negative,44,oh pooh i missed two awesome games tonight
@timbe2 heck ya! and I think super taqueria is better than chipotle!! ,positive,70,heck ya and i think super taqueria is better than chipotle
@RachelCampbell_ rachel! how did you get a pic working? mine wont work ,negative,71,rachel how did you get a pic working mine wont work
watching the twilight special features  ihop was really goooood ,positive,64,watching the twilight special features ihop was really goooood
We're all witnesses to another heartbreaker for a Cleveland team  &lt;3 alecia,negative,78,were all witnesses to another heartbreaker for a cleveland team lt alecia
"@no_but_whatever Hello, I'm good thanks, thanks for the follow  how are you?",positive,76,hello im good thanks thanks for the follow how are you
after 4 days... im starting to believe that my foot is really broken ,negative,69,after days im starting to believe that my foot is really broken
first time twitter user  and kinda into it ,positive,43,first time twitter user and kinda into it
@SupaGamaX that was a fun twitter party ,positive,40,that was a fun twitter party
will sleep now. time to get serious 2morrow mtg w/ employment counsellor &amp;hot yoga -and by serious of course I mean the hot yoga  G'night!,positive,142,will sleep now time to get serious morrow mtg w employment counsellor amphot yoga and by serious of course i mean the hot yoga gnight
"Successful day: twice-as-large-as-needed coffee maker from Target, and delicious coffee at European-style organic cafe in Bethesda ",positive,131,successful day twiceaslargeasneeded coffee maker from target and delicious coffee at europeanstyle organic cafe in bethesda
"@ryanmcdonough I know! Bit of a failure, ended up back in swinton by 11 in the moorside farm! lol! Ahhhh home is so sweet  x",positive,124,i know bit of a failure ended up back in swinton by in the moorside farm lol ahhhh home is so sweet x
@Cuevman81 Ha! I know the feeling. Now might be a good time to sign up for Entergy's level billing plan. ,negative,105,ha i know the feeling now might be a good time to sign up for entergys level billing plan
I'm talking to my friends on Msn. We are al together in one conversation. It's really funny. But some of them have to go in a few minutes ,negative,138,im talking to my friends on msn we are al together in one conversation its really funny but some of them have to go in a few minutes
@rosecharm skip z joe and take a snooze... u prbly could use it if ya didn't sleep well.   listen to ur body babe!  ,positive,116,skip z joe and take a snooze u prbly could use it if ya didnt sleep well listen to ur body babe
@Wordee herbal! It soothes my mind! Weird huh? ,positive,47,herbal it soothes my mind weird huh
"watched some rugby, playing xbox now...can't go to the pub, still on antibiotics ",negative,81,watched some rugby playing xbox nowcant go to the pub still on antibiotics
Exams in the morning and I haven't studied ,negative,43,exams in the morning and i havent studied
@charmania: FollowFriday is a blind 'shout out' recommending ppl U like to follow.  Try http://twendz.com and srch 4 followfriday! ,positive,131,followfriday is a blind shout out recommending ppl u like to follow try and srch followfriday
I think I'm going to get a new twitter... mine is just all messed up. ,negative,70,i think im going to get a new twitter mine is just all messed up
"@M0US3W1F3 why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,it will help relieve your stress ",positive,131,why limit your story to ch tell all what is annoying you at it will help relieve your stress
sooooo sleepy.  need coffee. don't want to get up to make it though ,negative,68,sooooo sleepy need coffee dont want to get up to make it though
This weekend was amazing. And only two days of finals left ,positive,59,this weekend was amazing and only two days of finals left
"@wellcaffeinated... I suppose I could come to chez vous on July 22nd instead, if you refuse to return to sunny Mtl to appease me ",positive,129,i suppose i could come to chez vous on july nd instead if you refuse to return to sunny mtl to appease me
"At Starbucks, waiting for some fwends  Rainy day, hot choco and jazz. Just perfect!",positive,83,at starbucks waiting for some fwends rainy day hot choco and jazz just perfect
photo opt: making brownies with jessica ,positive,40,photo opt making brownies with jessica
So ready for bed. So tired. Why did I stay out so late. Goshdamn in tired. ,negative,75,so ready for bed so tired why did i stay out so late goshdamn in tired
